GCA023418055	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	JAEZDP01	JAEZDP01 sp023418055
GCA023418095	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	PHOS-HE28	PHOS-HE28	PHOS-HE28 sp023418095
GCA023418255	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	JAEZZZ01	JAEZZZ01 sp023418255
GCA023418315	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Nemorincola	Nemorincola sp023418315
GCA023418355	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Comamonas	Comamonas sp023418355
GCA023418375	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Cellulomonadaceae	Actinotalea	Actinotalea sp023418375
GCA023418435	Bacteria	Bacillota	Negativicutes	Veillonellales	Negativicoccaceae	JAEZZT01	JAEZZT01 sp023418435
GCA023418475	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mobilitalea	Mobilitalea sp023418475
GCA023418505	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium sp023418505
GCA023418575	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	JAEZZM01	JAEZZM01	JAEZZM01 sp023418575
GCA023418595	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp023418595
GCA023418705	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	JAEZYZ01	JAEZYZ01 sp023418705
GCA023418755	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Cohnella	Cohnella sp023418755
GCA023418835	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Neofamilia	Neofamilia sp023418835
GCA023418915	Bacteria	Bacillota	Clostridia	Acetivibrionales	DTU013	DTU013	DTU013 sp023418915
GCA023418925	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	JAEZYS01	JAEZYS01 sp023418925
GCA023418995	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	Caproiciproducens	Caproiciproducens sp023418995
GCA023419095	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Kaistella	Kaistella sp023419095
GCA023419175	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Brooklawnia	Brooklawnia sp023419175
GCA023419315	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas_A	Pseudoxanthomonas_A sp023419315
GCA023419375	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp023419375
GCA023419515	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	JAEZXW01	JAEZXW01	JAEZXW01 sp023419515
GCA023419535	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	Aureimonas sp023419535
GCA023419605	Bacteria	Bacillota	Clostridia	Acetivibrionales	JAEZXR01	JAEZXR01	JAEZXR01 sp023419605
GCA023419655	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mobilitalea	Mobilitalea sp023419655
GCA023419875	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter sp023419875
GCA023419995	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aquamicrobium_A	Aquamicrobium_A sp023419995
GCA023420085	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	JAEZWQ01	JAEZWQ01 sp023420085
GCA023420115	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	JAEZWR01	JAEZWR01 sp023420115
GCA023420245	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	Caproiciproducens	Caproiciproducens sp023420245
GCA023420415	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Dermatophilaceae	Pedococcus	Pedococcus sp023420415
GCA023420435	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	JAEXBA01	JAEXBA01 sp023420435
